Long,Lat,lat,long,sample
,,,,
-74.68984504,45.01818147,,,
-74.03066536,45.0104149,,,
-73.43740364,44.99487861,,,
-72.72329231,45.03371145,,,
-72.26186653,44.99487861,,,
-72.18496223,44.87043656,,,
-71.93227668,44.76132858,,,
-71.88833137,44.53466249,,,
-72.04213996,44.31497205,,,
-72.07509895,44.02340063,,,
-71.76748176,43.8651944,,,
-71.26211067,43.83350263,,,
-71.00942512,43.93643931,,,
-70.95449348,43.53955561,,,
-70.99843879,43.38805017,,,
-70.81167121,43.22015511,,,
-70.77871223,43.09994622,,,
-70.66884895,43.06785058,,,
-70.1415052,43.67479122,,,
-69.15273567,43.96016866,,,
-68.19692512,44.29924829,,,
-67.58409401,44.52266951,,,
-66.92491432,44.81956143,,,
-67.1170034,45.06409191,,,
-66.78741355,45.06409191,,,
-66.3369741,45.13388756,,,
-66.05132957,45.24228899,,,
-65.56745906,45.32010519,,,
-64.95222469,45.38958739,,,
-64.77644344,45.20411193,,,
-65.5015411,44.86639132,,,
-66.18269344,44.25583253,,,
-65.89704891,43.63886786,,,
-65.39167781,43.46369461,,,
-64.00740047,44.3658918,,,
-62.31550594,44.85081601,,,
-60.9312286,45.2853321,,,
-59.81062313,45.96147013,,,
-59.79302784,46.31533681,,,
-60.5620708,47.02397487,,,
-61.9683208,46.55761846,,,
-63.41851612,46.58782793,,,
-63.96783252,47.14366912,,,
-64.64898487,47.82669567,,,
-64.16558643,48.80567401,,,
-65.39605518,49.29529381,,,
-66.93414112,49.05108664,,,
-67.26373096,49.52403602,,,
-66.42877002,50.20387733,,,
-64.4292583,50.28818536,,,
-62.91314502,50.28818536,,,
-61.48492237,50.21793902,,,
-60.10064502,50.21793902,,,
-58.67242237,51.10928604,,,
-57.33209034,50.87417152,,,
-58.07916065,49.72331165,,,
-59.1558208,48.57359497,,,
-59.39752002,47.87093251,,,
-59.13384815,47.56048205,,,
-56.45318409,47.44172853,,,
-56.12359424,46.96402689,,,
-53.17522426,46.64489673,,,
-52.58196254,47.77919128,,,
-53.50481411,49.30648762,,,
-56.1195602,50.15858811,,,
-55.37248989,51.61391064,,,
-55.89983364,52.69235344,,,
-55.79958339,53.35930928,,,
-56.89821621,53.78985008,,,
-57.38161464,54.57419896,,,
-59.14586444,55.2409628,,,
-60.46422382,55.76363169,,,
-61.6287746,56.40117247,,,
-61.36510273,57.12375306,,,
-62.29842563,57.20733628,,,
-66.14364048,57.75070768,,,
-67.46199985,58.29758134,,,
-67.92342563,58.43587187,,,
-68.86696239,58.24698286,,,
-72.2287788,58.01496168,,,
-76.71120067,57.45192099,,,
-76.51344677,56.90407959,,,
-76.55739208,56.33590387,,,
-77.12868114,55.69727444,,,
-77.94166942,55.23641164,,,
-79.6115913,54.77014536,,,
-79.30663486,54.17127546,,,
-78.95507236,53.15582744,,,
-78.60350986,52.35798772,,,
-79.02099033,51.77718518,,,
-79.57030674,51.5181413,,,
-79.57365413,50.15473874,,,
-79.48576351,48.55189633,,,
-79.57365413,46.74626924,,,
-79.44181819,44.53450953,,,
-77.77189632,44.15739092,,,
-76.01408382,44.53450953,,,
-74.68984504,45.01818147,,,
